CC.Line,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59
CC001cs,0.209311891,0.115083556,-0.08809155,-0.124370543,0.113488351,0.033957018,-0.064923032,-0.086033041,-0.128027494,0.159731767,0.048816768,0.005720622,-0.038000436,-0.064564762,0.157625172,0.113924708,-0.067741476,-0.075600098,0.042057677,-0.003192562,0.074591079,0.131972837,0.054601294,-0.028120954,0.016830728,0.106155672,-0.05898129,0.109715604,0.07886125,-0.023593128,-0.231807995,0.112149153,-0.143865805,0.135222061,-0.139660214,0.19013441,0.042482727,0.091452779,-0.147476883,0.265262571,-0.157169299,-0.255594689,-0.095078846,-0.073494062,-0.113399234,0.223499895,0.131562621,0.009506685,0.041921107,0.162310637,-0.26841219,0.309393323,-0.042269616,-0.214641149,0.03240967,0.13722252,-0.022117265,0.123050574,0.080450806
CC002cs,-0.152827494,0.066141533,-0.004698111,0.216832343,0.117848349,0.159584672,-0.04628466,-0.043881257,0.240514264,-0.006895239,0.025527723,0.147445564,0.25063441,-0.005878888,-0.164229421,0.139837964,0.061905935,0.041156352,-0.056441375,-0.160684857,0.009671689,0.051698438,-0.051647012,0.026586614,0.096563084,0.022962627,0.089752405,0.077531238,-0.118891221,0.055981137,-0.083720674,-0.024939703,-0.056508912,0.106484476,-0.117176627,-0.196616301,-0.125772242,0.083774691,0.098119838,0.30726875,-0.094685324,-0.063832196,0.320964772,-0.121963235,0.118161845,0.143958827,0.007827226,0.160555411,0.259337136,0.20829129,0.08089737,-0.008698432,0.236826333,0.068655481,0.048415938,-0.155170439,0.006807249,-0.109819274,0.028363176
CC003cs,-0.165489944,0.29604608,-0.003987223,0.042025834,-0.098821424,-0.027513438,0.066384423,-0.0262208,-0.064895515,-0.015975293,0.068669789,-0.103311976,0.09079077,0.145409312,-0.085898367,-0.017422295,-0.015065118,0.039979137,-0.05807818,0.051827252,0.22272173,0.018274667,0.173841311,-0.018939193,-0.079777425,-0.046064445,0.011414041,0.019827269,-0.105866378,0.087940879,0.071212924,-0.206638747,-0.027813929,0.069695605,0.045936577,0.034057225,0.020764048,-0.027930085,0.044210598,-0.11006438,-0.091597434,0.057305644,0.12141116,-0.144889985,0.070836519,-0.095182269,0.16633424,0.130289271,0.014669032,0.189404819,0.149968622,0.109330273,-0.390329291,0.097619291,0.231585784,0.372897437,-0.270114367,0.047607702,0.126017313
CC004cs,0.0199171,0.201977982,0.117946878,-0.094213604,0.019886586,-0.166157024,-0.146711659,-0.087327001,-0.253105948,-0.035038368,-0.015655948,0.186402747,0.105718779,-0.188460803,-0.146877549,-0.035495874,0.12225601,-0.019987736,-0.007158775,0.016337915,-0.202449127,-0.15746268,-0.105777152,-0.008440426,-0.045232619,0.333377981,0.283532793,0.130247333,0.007477496,0.092388929,0.046603019,-0.142771143,-0.062284211,-0.0831752,-0.036278295,0.078811524,-0.012900139,-0.088491386,0.242592726,-0.013963255,0.094788832,-0.033874386,-0.030041114,-0.121017012,-0.040481975,0.089020444,-0.425365231,0.129066233,-0.013343543,-0.047939212,-0.081670982,0.13974054,-0.090756651,0.083782648,-0.002696095,0.033626827,-0.008365261,0.06917842,-0.080843899
CC005cs,-0.047309178,0.350362843,0.033094578,-0.04682738,-0.05742832,0.079405384,-0.021083216,0.186490871,-0.083045746,-0.031034911,0.050383441,0.00532422,0.004072458,0.153930911,0.064722783,-0.019269138,-0.016405389,0.06362975,0.023841122,0.070317513,0.022555847,0.008202712,-0.105811405,-0.086155089,-0.17809217,0.012652618,0.098803971,-0.000218751,-0.134513488,0.027437893,0.002930777,0.072621549,-0.060231157,0.092813901,-0.017589945,0.003281901,-0.140601762,-0.061776052,-0.041048608,0.055830622,0.096493547,-0.063411146,-0.171170445,0.015435242,0.038139946,-0.078124424,0.205043045,-0.07776855,0.149974105,0.220018599,0.001884864,-0.070220731,-0.085255502,0.270665822,-0.457375961,-0.035245156,0.379329362,0.127663805,-0.164151822
CC006cs,0.059637563,0.110310602,0.165813155,0.047263674,0.087494657,0.241516869,-0.010729222,-0.28766374,0.163428062,0.283683858,0.117397809,0.128047963,0.169043062,0.051620345,-0.100892603,-0.102523165,-0.14273115,0.105189085,-0.023979125,0.17491318,0.051877751,-0.012547613,-0.029715091,0.123825814,-0.045145888,-0.133440069,-0.172999207,0.175325978,0.222523359,0.180654364,-0.053433373,0.037918666,0.002489487,-0.002543773,0.046816054,-0.117701541,0.1922671,0.073570605,0.001661066,-0.164100413,0.349827355,0.082434783,-0.001340325,0.054924871,-0.16573118,0.036326174,-0.102816464,-0.060604333,-0.048795095,0.123372856,0.118125991,0.138459567,-0.126222263,-0.08910398,-0.054907247,-0.117352462,0.110083834,0.050839242,0.033045475
CC007cs,0.059692236,0.019460186,-0.043549968,0.010853886,0.051175339,-0.243907653,0.264186113,0.082068136,0.061113315,-0.113183834,-0.028634604,0.21140045,0.150552705,0.01156988,0.080441656,0.054149509,-0.243307586,-0.181742873,-0.14341181,0.028218609,0.200793493,-0.229106088,0.326820227,-0.014516928,0.016866092,0.178021273,-0.042179479,0.029323962,-0.023884495,-0.171940118,-0.185475873,0.045180974,0.063334747,-0.078800861,0.164153153,-0.169729076,-0.013295679,-0.019837698,-0.009864463,0.234169646,0.105300724,0.279183034,-0.150899814,-0.124243421,0.053779173,-0.110239518,-0.096580455,-0.129390045,-0.068045201,0.113247228,0.008182197,0.140122658,0.074569867,0.036293849,0.040252307,-0.00778821,0.104805983,0.000847553,0.000878071
CC008cs,0.061872832,-0.120978158,0.103545864,-0.023151078,0.070710207,-0.082595456,-0.13341139,0.081287,-0.174054629,-0.00687701,-0.032319867,-0.043604004,0.076016157,0.072183975,0.316729997,-0.051381381,-0.246435283,0.276726553,-0.029265218,-0.377696671,0.001901288,0.033879343,-0.085443518,0.159738144,-0.125121749,-0.07167506,0.172591024,0.149406019,-0.120397633,-0.051775138,-0.054568171,-0.137107626,0.031049974,0.219228963,0.111049661,-0.277165458,-0.172803268,0.206298459,-0.227191292,-0.051949932,0.044453273,0.066112996,0.07713795,-0.006325245,-0.123021359,0.07708779,-0.124585441,0.080301797,-0.119038901,-0.069590452,-0.017278327,-0.014024455,-0.114575144,0.028876304,-0.000113384,0.025696472,0.003227369,0.022813082,0.072214722
CC009cs,0.134240354,0.193332376,-0.047474336,-0.026471406,0.156608137,-0.153996857,0.003742104,-0.256024328,-0.193832308,-0.020577973,0.276668343,-0.007658653,-0.193710497,-0.08206539,0.054700331,0.031991621,0.140969958,0.001148792,-0.018210562,0.053768533,0.034582624,-0.013110537,0.033741184,0.009833654,-0.07627473,-0.128957454,-0.016728018,0.074427078,0.114188718,-0.03714725,0.042038647,-0.050488098,-0.047875587,0.017128312,-0.068086627,-0.082768326,0.013698841,0.161465513,-0.021624874,0.156890213,-0.082656667,0.170818804,0.065596402,0.070242781,-0.030187819,-0.092459326,0.098451233,-0.010965814,-0.100899017,-0.13471624,0.243011416,0.090904034,0.262451053,0.279413335,-0.285730603,-0.111197327,-0.353769623,-0.001606054,0.023955039
CC010cs,0.068413053,-0.104474013,0.134615797,0.22695517,0.13886321,-0.032840856,0.021767598,-0.07647563,-0.199340809,-0.204404414,0.150660888,-0.018870357,-0.103653191,0.052079137,-0.15759158,0.225694507,-0.12662678,0.240054532,0.095926985,0.145829012,0.036238747,-0.124051649,-0.154587615,-0.060315692,-0.049185603,-0.141201823,0.061363047,0.035701411,-0.176796956,-0.314673333,-0.174955397,-0.06112909,-0.061882561,-0.162543251,-0.007702393,0.026800493,-0.029351856,0.096373422,0.132137957,-0.102874264,-0.049339206,-0.239681306,-0.052445717,0.01788183,-0.080087801,-0.146826491,-0.025855028,-0.257529305,0.186310344,0.066008202,0.137338889,0.120330127,-0.042109414,-0.116690375,0.170410894,-0.046626762,0.052314424,-0.038345853,-0.059566515
