,black.allScoresWin,blue.allScoresWin,brown.allScoresWin,cyan.allScoresWin,green.allScoresWin,greenyellow.allScoresWin,grey60.allScoresWin,lightcyan.allScoresWin,lightgreen.allScoresWin,magenta.allScoresWin,midnightblue.allScoresWin,pink.allScoresWin,red.allScoresWin,salmon.allScoresWin,tan.allScoresWin,turquoise.allScoresWin,yellow.allScoresWin
CC001cs,1.430414747,17.79700257,-25.13904289,-0.268435026,4.442264504,1.400030172,-2.413877877,4.819315571,-1.32799601,4.619503221,3.530014749,2.273266958,-0.207057102,-0.402546609,2.420554983,-21.23428346,-17.5289847
CC002cs,-3.071838947,-23.8850564,4.751331655,-0.79256527,-9.254923348,0.062319128,-0.410671461,-4.658141538,0.328920497,0.62585046,-0.416427933,-26.77609029,0.50113777,-4.633942108,1.07640032,18.43505119,5.800343023
CC003cs,-14.92801412,-24.13308024,-15.31026062,4.67125361,-6.864118313,0.879314004,-2.043034145,6.306459771,2.400169841,5.699358292,0.135745851,-25.39801988,10.4740776,0.048570745,-3.363698295,0.76252968,14.51978076
CC004cs,-14.87946677,3.692844421,-25.04055494,-0.248241405,-1.159088264,-3.414038824,1.483863495,4.187755371,-0.037055704,-0.210045856,2.168581791,-8.75953491,11.10623278,4.501875798,-2.118876416,-11.95795174,9.813125198
CC005cs,-14.92801412,-15.63275091,-25.26872787,1.712979737,-2.978579817,1.400030172,-2.071469702,6.306459771,-2.77152229,7.955944163,0.719141941,-26.77609029,3.796295353,-0.877035898,-6.580564106,-16.010355,14.51978076
CC006cs,2.330689728,5.93182779,-25.29048619,1.912543674,-9.254923348,-0.166925219,-0.440755465,-0.810745784,-2.462409183,1.729318286,0.443851901,-7.278877451,11.10623278,-1.377342468,0.724157685,-5.069075131,-4.718076066
CC007cs,11.99502808,6.515888847,2.633322273,-0.472822107,6.446532675,-3.414038824,0.124017856,3.448872549,1.515637482,1.74999455,3.259742454,5.237322218,1.92145494,2.786185269,0.477674019,-2.674089868,5.447870324
CC008cs,1.943333777,17.79700257,11.24430698,-2.346034663,1.164722894,-1.747431996,0.21851591,-1.567634867,-0.557572388,1.063156566,-0.265087475,8.887196206,1.564600763,4.501875798,1.475299781,-5.684965748,-9.44491403
CC009cs,2.548651307,6.088851304,-25.29048619,4.732630268,1.001807467,-0.553502407,1.480213262,6.2843626,2.085408567,2.582735713,3.530014749,-5.652801829,8.151790825,2.816238185,3.548752745,-21.23428346,-0.206215828
CC010cs,13.83340789,9.919775252,-4.162201053,-2.081514304,-2.534068418,-0.347723489,0.786438369,-5.837368775,4.387452555,0.955596531,0.305541049,-3.318506778,3.779442703,2.779390546,8.549028734,2.213199053,-7.570826183
CC011cs,-2.334432107,13.15447162,-24.29320533,-2.507440464,8.374562331,1.269156996,1.483863495,0.484504325,-1.089873596,-0.11631086,3.530014749,1.292663072,-0.670251066,1.645607428,-0.007577275,-21.23428346,-3.061312249
CC012cs,11.33819407,9.800912819,6.546954421,-2.874590157,-6.518008349,-2.326637105,-1.181989999,-5.837368775,4.387452555,-9.759049402,0.370743567,-2.454401546,-0.06068343,-3.894022987,2.11689784,16.05831807,-9.633352424
CC013cs,13.83340789,14.14868179,6.08786288,3.22477524,2.870955581,0.460794218,-0.141459283,-1.61371154,4.387452555,2.93847141,-0.206438528,12.71810351,11.10623278,2.508613631,6.165750087,10.15589449,-5.931289291
CC015cs,-3.811292811,0.971599018,-25.29048619,-0.119036664,3.224037575,-0.102919628,-0.662551979,4.585471075,-4.208121746,7.955944163,3.530014749,-22.97705981,4.114304745,-4.471426757,-3.481019733,-21.23428346,8.507645813
CC016cs,7.09804655,17.79700257,2.53711658,-0.475610487,0.878994363,1.101389326,-0.496397544,-0.92877851,-1.72349443,-5.322326405,1.031309887,4.747465311,-0.085421089,-0.136824438,8.549028734,-16.706409,-10.68898233
